N,M 80%,M 97%,P 80%,P 97%
1,-,-,-,-
2,-,-,-,-
3,-,-,-,-
4,1,-,-,-
5,1,-,-,-
6,1,-,-,-
7,2,1,-,-
8,2,1,-,-
9,3,1,-,-
10,3,2,-,-
11,3,2,-,-
12,4,2,-,-
13,4,3,-,-
14,5,3,-,-
15,5,3,-,-
16,5,4,1,-
17,6,4,1,-
18,6,4,1,-
19,7,5,1,-
20,7,5,1,-
21,8,6,1,-
22,8,6,1,-
23,8,6,1,-
24,9,7,1,-
25,9,7,1,-
26,10,8,1,-
27,10,8,1,-
28,11,8,1,-
29,11,9,2,-
30,11,9,2,-
31,12,10,2,-
32,12,10,2,-
33,13,10,2,-
34,13,11,2,1
35,14,11,2,1
36,14,12,2,1
37,15,12,2,1
38,15,12,2,1
39,16,13,2,1
40,16,13,2,1
41,16,14,2,1
42,17,14,3,1
43,17,14,3,1
44,18,15,3,1
45,18,15,3,1
46,19,16,3,1
47,19,16,3,1
48,20,17,3,1
49,20,17,3,1
50,20,17,3,1
51,21,18,3,1
52,21,18,3,2
53,22,19,3,2
54,22,19,4,2
55,23,19,4,2
56,23,20,4,2
57,24,20,4,2
58,24,21,4,2
59,25,21,4,2
60,25,22,4,2
61,25,22,4,2
62,26,22,4,2
63,26,23,4,2
64,27,23,4,2
65,27,24,4,2
66,28,24,5,2
67,28,25,5,2
68,29,25,5,3
69,29,26,5,3
70,30,26,5,3
71,30,26,5,3
72,31,27,5,3
73,31,27,5,3
74,31,28,5,3
75,32,28,5,3
76,32,29,5,3
77,33,29,5,3
78,33,29,6,3
79,34,30,6,3
80,34,30,6,3
81,35,31,6,3
82,35,31,6,3
83,36,32,6,4
84,36,32,6,4
85,37,33,6,4
86,37,33,6,4
87,38,33,6,4
88,38,34,6,4
89,38,34,6,4
90,39,35,7,4
91,39,35,7,4
92,40,36,7,4
93,40,36,7,4
94,41,37,7,4
95,41,37,7,4
96,42,37,7,4
97,42,38,7,5
98,43,38,7,5
99,43,39,7,5
100,44,39,7,5
